X	Y	class
-5.7669	9.0424	1
-9.1178	3.6796	1
6.2866	3.4949	1
6.2851	-3.6916	1
4.8025	-4.0544	1
6.1821	11.323	1
-5.6007	9.6947	1
-8.6772	5.6223	1
-3.1607	11.108	1
2.3159	-6.4188	1
-2.8521	10.958	1
-5.3951	8.22	1
-8.3928	2.2383	1
-1.9693	1.9776	1
6.9929	11.045	1
-6.2813	9.3466	1
4.5401	-5.1694	1
-3.1224	3.1423	1
-2.8286	-7.3502	1
-8.2689	-2.1072	1
-6.3909	-4.7831	1
6.3571	-1.7492	1
-3.5334	9.6277	1
-6.2904	7.5313	1
-8.2158	5.3746	1
-2.7765	10.272	1
3.9028	-5.3132	1
-5.2264	-6.1091	1
5.6751	11.086	1
4.1913	12.037	1
3.883	4.3991	1
6.036	11.125	1
-9.0352	0.2831	1
-1.0763	4.9158	1
-2.308	-6.4935	1
5.4425	-4.1833	1
-1.7778	-6.734	1
7.1897	-1.9922	1
7.2965	0.0546	1
4.2363	11.873	1
-2.8619	10.738	1
-0.529	12.221	1
2.1479	12.477	1
3.5454	10.835	1
-2.2278	4.0387	1
1.9297	12.097	1
-0.4901	12.109	1
-0.9451	-1.2603	1
7.5608	0.2745	1
2.0028	11.873	1
-3.4892	-7.2238	1
-2.9641	-7.1965	1
-1.4735	4.1236	1
-5.709	-6.1107	1
1.9001	-7.3315	1
2.9844	-6.4	1
-1.4797	-0.1608	1
-5.7021	9.3597	1
5.0555	11.324	1
2.821	-6.4302	1
-0.7891	-6.7226	1
-0.5768	12.241	1
0.232	5.9444	1
3.5894	10.758	1
-6.6256	-3.9972	1
4.5679	-5.6797	1
-4.3189	-6.4693	1
-7.8233	6.321	1
6.5919	3.4626	1
-7.6006	-3.0672	1
-8.1925	0.7872	1
3.9774	4.6297	1
4.5827	11.858	1
7.0411	0.9441	1
-0.8475	12.077	1
6.7639	0.6546	1
-3.5053	-7.0539	1
1.4376	12.297	1
-7.5393	-1.6907	1
-2.3958	1.6451	1
7.2517	-2.381	1
7.2683	-1.4728	1
7.6088	0.9045	1
-8.2805	3.685	1
-6.8615	-2.8608	1
7.2071	2.0306	1
6.4594	10.737	1
-2.7643	1.3641	1
-8.5497	2.1284	1
0.2265	6.0914	1
1.0986	-7.49	1
4.4082	-4.5298	1
-0.2542	5.8703	1
6.8626	-2.997	1
0.2853	11.048	1
-8.3907	3.9747	1
-4.7887	-5.2465	1
-2.9514	-6.3822	1
-6.6624	-3.2425	1
4.0097	-5.6808	1
5.408	3.2386	1
2.1342	6.1576	1
-8.6684	-0.8404	1
2.8108	-6.8284	1
-0.8382	4.3393	1
4.3628	-5.1639	1
-8.5426	-1.245	1
-4.505	-5.2694	1
-5.9436	9.2072	1
-2.7596	9.9213	1
1.25	11.566	1
-8.3588	-2.2266	1
-3.0245	1.5231	1
4.5755	11.487	1
0.3738	11.04	1
4.5774	4.6821	1
-8.6612	2.9094	1
-1.5359	4.1078	1
-0.5307	11.367	1
-7.667	-1.8156	1
6.0811	-5.1215	1
0.6034	6.167	1
-1.6822	3.1196	1
4.3657	10.827	1
0.4533	4.6279	1
-8.8544	2.4905	1
2.679	-6.7914	1
-7.4041	-3.0274	1
-2.1461	10.415	1
-5.2198	9.3745	1
-7.9017	6.1235	1
-8.1127	-1.6868	1
1.0086	-6.6213	1
-0.6417	11.171	1
-6.9357	7.3389	1
-1.7579	5.0028	1
-1.8286	2.9731	1
-1.1219	11.593	1
-7.574	-0.8676	1
-8.9964	2.326	1
-8.8613	-1.8443	1
6.7523	-1.4329	1
-7.8493	4.388	1
-0.1182	11.247	1
1.3086	-7.0502	1
5.068	-4.0642	1
4.1971	5.2524	1
-9.239	3.9631	1
-5.9318	-4.8715	1
-3.2842	10.041	1
-5.9394	-5.4442	1
5.6753	2.6416	1
-4.7537	8.8824	1
1.4782	11.375	1
-7.3529	-3.1361	1
-8.5772	-0.7296	1
-7.9152	0.1384	1
-8.0916	3.0441	1
2.5782	5.1833	1
6.9613	-1.2561	1
-8.3934	5.4537	1
2.4891	-7.1488	1
-7.6571	-2.2894	1
6.934	2.2834	1
-5.959	8.5046	1
-8.624	0.9766	1
7.3957	0.2915	1
-0.4403	4.6701	1
5.2283	11.652	1
-8.2624	2.1261	1
-6.8322	5.8584	1
-8.1402	0.9058	1
5.4807	11.044	1
7.7975	-0.4396	1
6.8024	-2.3379	1
-7.6569	-4.0585	1
3.5661	12.1	1
6.6094	-0.5083	1
-7.3862	-4.5177	1
-7.9251	-0.9086	1
-4.0205	-6.2097	1
-4.4415	-5.5224	1
5.7606	-3.4497	1
6.5423	3.0194	1
6.5208	0.6185	1
-3.8233	-5.7848	1
-9.0556	2.7538	1
-1.8463	2.1959	1
4.0569	10.947	1
-2.5445	-6.2092	1
-1.7248	-7.0842	1
-6.3833	8.3349	1
6.4971	-1.0443	1
-6.7842	7.7222	1
6.4852	-3.1561	1
-2.1988	3.5299	1
-8.3372	0.6337	1
1.921	-7.1537	1
-3.6042	9.8149	1
-2.2865	2.9395	1
0.3111	11.204	1
-0.7943	4.9582	1
-2.3552	10.883	1
-8.6564	5.6718	1
-8.4759	0.2439	1
-6.2261	-4.3354	1
6.611	-0.8052	1
-7.7152	5.5722	1
-6.4965	-2.7794	1
-0.0117	11.727	1
2.9274	5.4828	1
-0.7665	10.944	1
5.4575	10.854	1
3.0548	-6.3286	1
6.6583	2.7518	1
-4.1388	-6.6074	1
-1.0998	-6.9606	1
5.3105	4.6691	1
2.4022	12.054	1
