X	Y	class
1.95E-01	-1.78E+00	1.00E+00
-7.29E-01	1.97E-01	1.00E+00
3.55E-01	6.17E-01	-1.00E+00
8.63E-03	5.27E-01	-1.00E+00
4.54E-01	-1.83E+00	1.00E+00
3.70E-02	7.68E-01	-1.00E+00
5.90E-01	-3.64E-01	1.00E+00
-8.06E-01	-1.12E+00	-1.00E+00
-1.31E-01	1.13E+00	1.00E+00
-1.95E+00	-6.60E-01	-1.00E+00
-1.14E+00	7.85E-01	1.00E+00
-5.54E-01	-4.71E-01	-1.00E+00
-2.17E-01	4.45E-01	1.00E+00
-3.92E-01	-3.05E+00	-1.00E+00
5.43E-01	4.39E-01	-1.00E+00
-2.20E-01	-1.08E+00	-1.00E+00
3.52E-01	3.79E-01	-1.00E+00
-4.70E-01	-2.17E-01	-1.00E+00
-9.30E-01	-1.79E-01	-1.00E+00
-1.55E+00	4.17E-01	1.00E+00
-9.44E-01	2.38E-01	1.00E+00
-1.41E+00	-5.90E-01	-1.00E+00
-1.10E-01	-1.66E+00	-1.00E+00
1.15E-01	-3.79E-01	1.00E+00
-1.74E+00	-1.30E+00	-1.00E+00
6.05E-01	8.96E-01	-1.00E+00
-1.32E-01	4.05E-01	1.00E+00
2.24E-01	3.30E-01	-1.00E+00
1.29E+00	-1.51E+00	1.00E+00
6.76E-01	-3.82E-01	1.00E+00
-2.24E-01	-3.02E-01	-1.00E+00
-3.75E-01	-1.23E+00	-1.00E+00
1.83E-01	1.67E+00	-1.00E+00
-5.61E-02	-1.39E-03	-1.00E+00
-6.87E-01	-1.17E-01	-1.00E+00
4.66E-01	-3.70E-01	1.00E+00
-4.54E-01	4.03E-01	1.00E+00
-9.18E-01	2.52E-01	1.00E+00
8.20E-01	1.36E+00	-1.00E+00
-9.04E-02	1.37E+00	1.00E+00
1.03E+00	-9.96E-01	1.00E+00
-1.22E+00	-3.05E-01	-1.00E+00
1.03E+00	-7.23E-02	1.00E+00
-6.01E-01	1.55E+00	1.00E+00
2.87E-01	-2.32E+00	1.00E+00
3.17E-01	5.20E-01	-1.00E+00
2.26E-01	4.50E-01	-1.00E+00
-6.73E-02	-1.32E+00	-1.00E+00
-3.71E-01	-9.46E-01	-1.00E+00
-9.33E-01	-1.26E+00	-1.00E+00
4.52E-01	9.79E-02	-1.00E+00
-4.48E-01	-6.49E-01	-1.00E+00
-2.34E-02	1.08E+00	1.00E+00
-2.00E+00	3.77E-01	1.00E+00
-5.46E-01	-1.88E+00	-1.00E+00
-1.95E+00	-9.13E-01	-1.00E+00
2.20E-01	3.93E-01	-1.00E+00
-9.39E-01	1.02E+00	1.00E+00
1.42E+00	3.96E-01	-1.00E+00
-5.91E-01	1.12E+00	1.00E+00
7.55E-01	8.67E-01	-1.00E+00
-6.56E-01	-2.83E+00	-1.00E+00
2.12E+00	-1.61E+00	1.00E+00
-3.58E-02	2.38E+00	1.00E+00
3.31E-01	9.49E-01	-1.00E+00
-1.50E+00	-1.78E+00	-1.00E+00
-5.33E-01	1.09E+00	1.00E+00
-3.46E-01	-7.95E-01	-1.00E+00
1.98E-01	1.08E+00	-1.00E+00
-1.44E+00	-1.21E+00	-1.00E+00
-7.89E-01	1.09E+00	1.00E+00
2.35E-01	2.13E+00	-1.00E+00
9.36E-01	-3.51E-02	1.00E+00
1.27E+00	2.11E-01	-1.00E+00
-7.05E-01	6.80E-01	1.00E+00
-6.96E-01	-2.90E-01	-1.00E+00
1.33E+00	-1.01E-01	1.00E+00
-8.03E-01	-4.64E-01	-1.00E+00
1.02E+00	-5.53E-01	1.00E+00
-3.87E-01	-5.10E-01	-1.00E+00
1.84E-01	-3.85E-01	1.00E+00
-1.60E+00	-8.87E-01	-1.00E+00
-9.33E-01	1.24E+00	1.00E+00
8.13E-01	5.87E-01	-1.00E+00
-5.05E-01	-8.16E-01	-1.00E+00
-5.08E-01	-1.05E+00	-1.00E+00
2.50E+00	-2.25E+00	1.00E+00
5.64E-01	-1.28E+00	1.00E+00
-1.04E-01	-9.88E-01	-1.00E+00
-1.18E+00	-1.14E+00	-1.00E+00
1.75E+00	-1.33E-01	1.00E+00
-7.66E-01	5.56E-01	1.00E+00
1.03E-02	7.20E-01	-1.00E+00
-1.82E+00	3.04E-01	1.00E+00
7.73E-01	-1.66E+00	1.00E+00
4.48E-01	1.70E+00	-1.00E+00
-1.49E-02	8.21E-01	1.00E+00
6.71E-01	-7.08E-01	1.00E+00
3.98E-02	-1.57E+00	1.00E+00
-4.51E-01	2.66E-01	1.00E+00
7.23E-01	2.46E-02	-1.00E+00
7.20E-01	-1.10E+00	1.00E+00
-1.02E-01	1.93E-02	1.00E+00
1.85E+00	-2.14E-01	1.00E+00
-4.99E-01	2.14E-02	1.00E+00
-9.19E-01	1.93E-01	1.00E+00
-3.65E-01	-1.79E+00	-1.00E+00
-5.86E-02	-3.18E-01	-1.00E+00
-1.63E+00	-6.71E-02	-1.00E+00
1.49E+00	5.21E-01	-1.00E+00
6.12E-01	-1.34E+00	1.00E+00
4.77E-01	1.48E-01	-1.00E+00
5.29E-01	4.23E-01	-1.00E+00
-1.36E+00	-4.14E-02	-1.00E+00
-7.58E-01	-5.01E-02	-1.00E+00
-8.97E-01	1.31E+00	1.00E+00
-8.59E-01	-8.99E-01	-1.00E+00
7.46E-02	-1.08E+00	1.00E+00
-4.25E-01	-8.30E-01	-1.00E+00
1.41E+00	7.86E-01	-1.00E+00
-5.75E-02	-3.91E-01	-1.00E+00
9.41E-01	4.05E-01	-1.00E+00
4.98E-01	-2.62E-02	1.00E+00
-1.69E+00	-1.12E-01	-1.00E+00
-5.32E-01	6.45E-01	1.00E+00
1.01E+00	-6.58E-01	1.00E+00
4.68E-01	1.74E+00	-1.00E+00
-6.68E-01	1.68E+00	1.00E+00
-8.53E-01	2.30E-02	1.00E+00
-1.11E-02	1.15E-02	1.00E+00
-8.38E-01	-5.91E-01	-1.00E+00
-6.68E-01	3.27E-01	1.00E+00
3.30E-01	2.23E+00	-1.00E+00
1.37E+00	-5.10E-01	1.00E+00
3.25E-01	9.97E-01	-1.00E+00
3.06E-02	-6.96E-02	1.00E+00
5.16E-02	8.67E-01	-1.00E+00
-8.48E-01	-3.26E-01	-1.00E+00
4.70E-01	3.11E-01	-1.00E+00
2.40E-01	-3.70E-01	1.00E+00
9.73E-01	2.13E+00	-1.00E+00
4.06E-01	-1.93E-01	1.00E+00
7.56E-01	-5.39E-01	1.00E+00
-7.50E-01	3.28E-02	1.00E+00
-2.58E+00	-1.15E+00	-1.00E+00
-3.48E-01	-1.35E+00	-1.00E+00
-1.03E+00	-4.37E-01	-1.00E+00
-1.64E+00	-4.06E-01	-1.00E+00
-5.35E-01	2.54E-02	1.00E+00
1.15E+00	1.73E-01	-1.00E+00
2.11E-02	9.95E-02	-1.00E+00
2.27E-01	-1.02E+00	1.00E+00
-1.15E-01	3.09E-01	1.00E+00
-1.37E+00	8.66E-01	1.00E+00
1.08E+00	-6.31E-01	1.00E+00
-2.41E-01	-8.78E-01	-1.00E+00
6.99E-01	-1.06E+00	1.00E+00
-2.22E-01	-8.59E-01	-1.00E+00
5.10E-02	-1.79E+00	1.00E+00
1.33E+00	-9.65E-01	1.00E+00
5.99E-02	-2.13E-01	1.00E+00
-7.62E-01	-8.88E-01	-1.00E+00
9.36E-01	-5.26E-01	1.00E+00
2.71E-01	-8.01E-01	1.00E+00
-6.47E-01	4.72E-01	1.00E+00
9.30E-01	-1.75E-01	1.00E+00
-1.42E+00	2.00E+00	1.00E+00
-8.57E-01	-1.54E+00	-1.00E+00
2.59E+00	-4.04E-01	1.00E+00
-1.46E+00	-6.83E-01	-1.00E+00
3.68E-01	1.90E-01	-1.00E+00
-8.52E-01	1.82E+00	1.00E+00
-5.22E-01	-1.18E+00	-1.00E+00
9.61E-01	1.33E+00	-1.00E+00
-8.17E-01	-1.40E+00	-1.00E+00
1.03E+00	-2.05E+00	1.00E+00
